Id|Codigo|Habilitado
1141|16180-2|1
1142|16226-1|1
1143|17013-2|1
1144|18779-4|1
1145|19125-1|1
1146|19268-1|1
1147|19388-1|1
1148|19583-2|1
1149|16779-2|1
1150|16812-1|1
1151|17024-1|1
1152|17129-2|1
1153|17137-4|1
1154|1980920-1|1
1155|1980921-1|1
1156|1980925-1|1
1157|1980927-3|1
1158|1981095-4|1
1159|19583-11|1
1160|1980015-1|1
1161|1980084-2|1
1162|1980132-2|1
1163|1980347-6|1
1164|1980532-1|1
1165|1980545-17|1
1166|1980545-26|1
1167|1980545-36|1
1168|1980211-8|1
1169|1980275-4|1
1170|1980480-2|1
1171|1980492-1|1
1172|1980528-2|1
1173|19509-5|1
1174|19509-6|1
1175|19583-7|1
1176|19721-10|1
1177|19721-9|1
1178|19722-3|1
1179|1980052-1|1
1180|1980080-2|1
1181|19721-12|1
1182|19721-6|1
1183|19721-8|1
1184|19258-1|1
1185|19391-9|1
1186|19541-1|1
1187|19583-12|1
1188|17135-8|1
1189|17144-2|1
1190|17144-9|1
1191|17584-5|1
1192|17141-14|1
1193|17144-3|1
1194|17144-8|1
1195|17145-15|1
1196|17351-5|1
1197|1982255-11|1
1198|1982255-8|1
1199|1983088-5|1
1200|1980366-3|1
1201|1980545-11|1
1202|1980545-52|1
1203|1980589-5|1
1204|17134-3|1
1205|17137-11|1
1206|17141-15|1
1207|17145-16|1
1208|17418-1|1
1209|19391-7|1
1210|19547-2|1
1211|19583-4|1
1212|19605-10|1
1213|18477-1|1
1214|18536-1|1
1215|18933-8|1
1216|19583-3|1
1217|1980010-1|1
1218|1980011-1|1
1219|1980020-1|1
1220|1980022-7|1
1221|16180-1|1
1222|16620-1|1
1223|17070-2|1
1224|17134-1|1
1225|17352-1|1
1226|17352-5|1
1227|17584-3|1
1228|17585-1|1
1229|17777-1|1
1230|1980596-2|1
1231|1980596-3|1
1232|1980634-1|1
1233|1980650-3|1
1234|1980734-6|1
1235|18989-5|1
1236|19391-3|1
1237|19393-9|1
1238|19394-2|1
1239|19438-1|1
1240|1980013-4|1
1241|1980018-3|1
1242|1980027-2|1
1243|1980037-1|1
1244|1980389-10|1
1245|1980413-1|1
1246|1980471-4|1
1247|1980545-10|1
1248|18933-6|1
1249|1919584831-1|1
1250|19212-5|1
1251|19388-3|1
1252|19393-7|1
1253|19541-4|1
1254|19547-5|1
1255|19583-1|1
1256|19684-3|1
1257|19541-2|1
1258|19722-1|1
1259|19763-11|1
1260|19763-8|1
1261|1980545-48|1
1262|1980545-8|1
1263|1980590-2|1
1264|1980647-1|1
1265|1980649-3|1
1266|1980110-1|1
1267|1980110-9|1
1268|1980173-1|1
1269|1980184-1|1
1270|1980273-1|1
1271|17952-1|1
1272|18324-1|1
1273|18892-1|1
1274|191956779-3|1
1275|1919584831-2|1
1276|1980026-2|1
1277|1980027-4|1
1278|1980080-1|1
1279|1980083-1|1
1280|1980084-4|1
1281|19763-9|1
1282|19776-4|1
1283|1980002-5|1
1284|1980015-5|1
1285|17583-2|1
1286|18919-2|1
1287|18980-1|1
1288|18985-1|1
1289|1980545-38|1
1290|1980545-43|1
1291|1980545-46|1
1292|1980550-1|1
1293|1980587-2|1
1294|17616-2|1
1295|17754-2|1
1296|17803-1|1
1297|19491-5|1
1298|19605-5|1
1299|19605-8|1
1300|19763-1|1
1301|19763-5|1
1302|1980052-3|1
1303|1980168-1|1
1304|1980246-1|1
1305|1980275-1|1
1306|1980347-3|1
1307|1980013-2|1
1308|1980018-1|1
1309|1980020-3|1
1310|1980083-2|1
1311|17583-4|1
1312|17775-1|1
1313|17804-1|1
1314|1919584831-3|1
1315|19258-2|1
1316|19353-3|1
1317|19498-5|1
1318|1980110-20|1
1319|1980110-4|1
1320|1980168-2|1
1321|1980178-1|1
1322|1980211-10|1
1323|1980781-1|1
1324|1980782-1|1
1325|1980790-2|1
1326|1981012-3|1
1327|1980727-1|1
1328|1980838-2|1
1329|1980926-1|1
1330|1981050-8|1
1331|1981354-4|1
1332|1980395-4|1
1333|1980477-1|1
1334|1980545-14|1
1335|1980545-28|1
1336|1980366-4|1
1337|1980373-2|1
1338|1980389-16|1
1339|1980395-3|1
1340|1980471-5|1
1341|1980389-8|1
1342|1980425-4|1
1343|1980492-2|1
1344|1980535-1|1
1345|1980539-2|1
1346|1980084-5|1
1347|1980084-7|1
1348|1980099-3|1
1349|1980099-4|1
1350|1980110-18|1
1351|1981095-1|1
1352|1981097-2|1
1353|1981505-12|1
1354|1982652-4|1
1355|1980549-3|1
1356|1980599-2|1
1357|1980650-2|1
1358|1980830-2|1
1359|1980885-5|1
1360|1983090-3|1
1361|1983161-1|1
1362|1983281-1|1
1363|1983626-2|1
1364|1983837-4|1
1365|18337-2|1
1366|1919584831-4|1
1367|19212-3|1
1368|19237-1|1
1369|19513-2|1
1370|1983088-2|1
1371|1983090-7|1
1372|1983161-2|1
1373|1983638-1|1
1374|1983645-2|1
1375|1980211-9|1
1376|1980369-2|1
1377|1980389-7|1
1378|1980398-1|1
1379|1980477-2|1
1380|1980545-50|1
1381|1980587-1|1
1382|1980589-9|1
1383|1980600-1|1
1384|1980275-2|1
1385|1980373-1|1
1386|1980389-13|1
1387|1980398-2|1
1388|1980545-19|1
1389|1980826-5|1
1390|1980847-1|1
1391|1980854-2|1
1392|1980923-3|1
1393|1981073-2|1
1394|1981505-1|1
1395|1981505-3|1
1396|1981509-2|1
1397|1982539-1|1
1398|19561-1|1
1399|19583-9|1
1400|19763-6|1
1401|1980012-1|1
1402|19605-6|1
1403|19763-10|1
1404|19767-2|1
1405|1980006-1|1
1406|1980010-6|1
1407|1982541-3|1
1408|1982869-1|1
1409|1982973-2|1
1410|1983150-4|1
1411|18324-2|1
1412|18933-9|1
1413|19575-3|1
1414|19722-2|1
1415|1983977-2|1
1416|1984035-1|1
1417|1984338-8|1
1418|1984621-1|1
1419|1980542-2|1
1420|1980545-27|1
1421|1980545-44|1
1422|1980578-1|1
1423|191956779-2|1
1424|191956779-5|1
1425|19353-4|1
1426|19391-5|1
1427|1980545-45|1
1428|1980549-1|1
1429|1980645-1|1
1430|1980690-2|1
1431|1980724-4|1
1432|1983914-1|1
